RollNo,RollCode,QR_URL
26010062,11024,"http://115.243.18.52/t1/interResult.aspx?90cc9d41"
26010062,11025,"http://115.243.18.52/t1/interResult.aspx?d398b898"
26010062,11026,"http://115.243.18.52/t1/interResult.aspx?8de10de0"
26010062,11027,"http://115.243.18.52/t1/interResult.aspx?db10d018"
26010062,11028,"http://115.243.18.52/t1/interResult.aspx?6533c7bb"
26010062,11029,"http://115.243.18.52/t1/interResult.aspx?f6e858ca"
26010062,11030,"http://115.243.18.52/t1/interResult.aspx?59e9ccb3"
26010062,11031,"http://115.243.18.52/t1/interResult.aspx?5a11566c"
26010062,11032,"http://115.243.18.52/t1/interResult.aspx?e663fd50"
26010062,11033,"http://115.243.18.52/t1/interResult.aspx?941780b9"
26010062,11034,"http://115.243.18.52/t1/interResult.aspx?90b74b9d"
26010062,11035,"http://115.243.18.52/t1/interResult.aspx?850f7288"
26010062,11072,"http://115.243.18.52/t1/interResult.aspx?798b382a"
26010062,11073,"http://115.243.18.52/t1/interResult.aspx?0fdfdddb"
26010062,11074,"http://115.243.18.52/t1/interResult.aspx?03aab41b"
26010062,11075,"http://115.243.18.52/t1/interResult.aspx?91d167f9"
26010062,11077,"http://115.243.18.52/t1/interResult.aspx?01828137"
26010062,11078,"http://115.243.18.52/t1/interResult.aspx?b0ab0633"
26010062,11079,"http://115.243.18.52/t1/interResult.aspx?44addf56"
26010062,11082,"http://115.243.18.52/t1/interResult.aspx?4fa7cc11"
26010062,11083,"http://115.243.18.52/t1/interResult.aspx?11a9d520"
26010062,11084,"http://115.243.18.52/t1/interResult.aspx?b06fad9b"
26010062,11085,"http://115.243.18.52/t1/interResult.aspx?9febdb0e"
26010062,11087,"http://115.243.18.52/t1/interResult.aspx?96fcbe86"
26010062,11089,"http://115.243.18.52/t1/interResult.aspx?2969063e"
26010062,11090,"http://115.243.18.52/t1/interResult.aspx?56d7b387"
26010062,11091,"http://115.243.18.52/t1/interResult.aspx?5c02cf0d"
26010062,11092,"http://115.243.18.52/t1/interResult.aspx?d7ba650b"
26010062,11094,"http://115.243.18.52/t1/interResult.aspx?2c23e781"
26010062,12006,"http://115.243.18.52/t1/interResult.aspx?f656bd15"
26010062,12007,"http://115.243.18.52/t1/interResult.aspx?3e9ad5bc"
26010062,12008,"http://115.243.18.52/t1/interResult.aspx?64720e43"
26010062,12020,"http://115.243.18.52/t1/interResult.aspx?2e93f6b4"
26010062,12021,"http://115.243.18.52/t1/interResult.aspx?0324a6a7"
26010062,12024,"http://115.243.18.52/t1/interResult.aspx?340252cc"
26010062,12027,"http://115.243.18.52/t1/interResult.aspx?b65c3fff"
26010062,12028,"http://115.243.18.52/t1/interResult.aspx?ae6a9809"
26010062,12029,"http://115.243.18.52/t1/interResult.aspx?d0d9aa5d"
26010062,12030,"http://115.243.18.52/t1/interResult.aspx?7e701340"
26010062,12032,"http://115.243.18.52/t1/interResult.aspx?b7580eea"
26010062,12037,"http://115.243.18.52/t1/interResult.aspx?69794792"
26010062,12038,"http://115.243.18.52/t1/interResult.aspx?345b4ffb"
26010062,12039,"http://115.243.18.52/t1/interResult.aspx?8b4bb8a4"
26010062,12042,"http://115.243.18.52/t1/interResult.aspx?0ceeefc1"
26010062,12043,"http://115.243.18.52/t1/interResult.aspx?dcab701f"
26010062,12044,"http://115.243.18.52/t1/interResult.aspx?e035e06a"
26010062,12045,"http://115.243.18.52/t1/interResult.aspx?67aa86a7"
26010062,12046,"http://115.243.18.52/t1/interResult.aspx?9497f4f8"
26010062,12047,"http://115.243.18.52/t1/interResult.aspx?4e1fbc43"
26010062,12049,"http://115.243.18.52/t1/interResult.aspx?c654bf89"
