RollNo,RollCode,QR_URL
26030078,11025,"http://yourdomain.com/r/8286afbe"
26030078,11026,"http://yourdomain.com/r/9d357ec1"
26030078,11027,"http://yourdomain.com/r/c01cbb58"
26030078,11028,"http://yourdomain.com/r/e8ca1acc"
26030078,11029,"http://yourdomain.com/r/0de924f9"
26030078,11030,"http://yourdomain.com/r/a6c2fbb6"
26030078,11031,"http://yourdomain.com/r/531bb194"
26030078,11032,"http://yourdomain.com/r/210b6177"
26030078,11033,"http://yourdomain.com/r/94909465"
26030078,11034,"http://yourdomain.com/r/b9cb5152"
26030078,11035,"http://yourdomain.com/r/a635501a"
26030078,11072,"http://yourdomain.com/r/0420f25e"
26030078,11073,"http://yourdomain.com/r/78a1e898"
26030078,11074,"http://yourdomain.com/r/a9b96da0"
26030078,11075,"http://yourdomain.com/r/28b58e27"
26030078,11077,"http://yourdomain.com/r/8b1511f0"
26030078,11078,"http://yourdomain.com/r/9822b011"
26030078,11079,"http://yourdomain.com/r/12ae26d1"
26030078,11082,"http://yourdomain.com/r/ff0caf04"
26030078,11083,"http://yourdomain.com/r/77a9a11c"
26030078,11084,"http://yourdomain.com/r/87266bed"
26030078,11085,"http://yourdomain.com/r/417bf0d5"
26030078,11087,"http://yourdomain.com/r/ac138cca"
26030078,11089,"http://yourdomain.com/r/dc9f36f6"
26030078,11090,"http://yourdomain.com/r/95970ba7"
26030078,11091,"http://yourdomain.com/r/9f70428a"
26030078,11092,"http://yourdomain.com/r/308502f4"
26030078,11094,"http://yourdomain.com/r/6fdae389"
26030078,12006,"http://yourdomain.com/r/33e315be"
26030078,12007,"http://yourdomain.com/r/a4277c2f"
26030078,12008,"http://yourdomain.com/r/4bd67681"
26030078,12020,"http://yourdomain.com/r/628133d6"
26030078,12027,"http://yourdomain.com/r/d1d3fed9"
26030078,12029,"http://yourdomain.com/r/b2e12b59"
26030078,12030,"http://yourdomain.com/r/d8201221"
26030078,12038,"http://yourdomain.com/r/85180c33"
26030078,12039,"http://yourdomain.com/r/2c5d84da"
26030078,12042,"http://yourdomain.com/r/b93e5196"
26030078,12043,"http://yourdomain.com/r/8838c1c5"
26030078,12044,"http://yourdomain.com/r/373676c2"
26030078,12046,"http://yourdomain.com/r/41669232"
26030078,12047,"http://yourdomain.com/r/4b75de96"
26030078,12050,"http://yourdomain.com/r/a151b4b1"
26030078,12051,"http://yourdomain.com/r/e69ec489"
26030078,12053,"http://yourdomain.com/r/c817de16"
26030078,12056,"http://yourdomain.com/r/c63872e2"
26030078,12058,"http://yourdomain.com/r/936b1473"
26030078,12060,"http://yourdomain.com/r/9b4945fe"
26030078,12063,"http://yourdomain.com/r/e9b79e7a"
26030078,12064,"http://yourdomain.com/r/a46b0140"
